ID,PredictedProb
0,0.35
1,0.9
2,0.83
7,0.72
10,0.74
11,0.58
13,0.97
14,0.57
15,0.89
16,0.85
17,0.69
18,0.8
19,0.7
20,0.95
25,0.97
26,0.76
29,0.81
38,0.97
41,0.92
44,0.6
45,0.34
47,0.76
48,0.66
49,0.85
50,0.85
53,0.49
56,0.43
59,0.66
60,0.76
64,0.92
65,0.99
66,0.79
68,0.89
69,0.73
70,0.95
71,0.81
72,0.68
76,0.79
80,0.8
82,0.74
83,0.99
85,0.88
86,0.86
87,0.68
89,0.8
97,0.9
99,0.65
101,0.78
102,0.32
103,0.54
104,0.63
106,0.9
107,0.78
109,0.9
111,0.33
113,0.89
114,0.44
118,0.78
119,0.61
120,0.93
123,0.84
128,0.36
129,0.81
131,0.97
133,0.82
134,0.83
136,0.83
137,0.74
139,0.81
140,0.91
142,0.82
144,0.74
146,0.92
147,0.81
148,0.94
150,0.31
151,0.12
152,0.97
155,0.99
158,0.87
159,0.65
160,0.98
161,0.68
165,0.95
166,0.46
170,0.94
171,0.74
174,0.79
175,0.61
179,0.74
180,0.91
181,0.93
184,0.65
185,0.46
187,0.87
188,0.85
190,0.8
191,0.79
192,0.64
193,0.89
196,0.93
197,0.64
198,0.66
205,0.07
211,0.92
213,0.64
214,0.86
217,0.6
218,0.74
221,0.92
222,0.55
225,0.9
229,0.77
236,0.74
237,0.91
238,0.83
239,0.84
242,0.66
245,0.88
246,0.69
247,0.93
248,0.98
254,0.92
255,0.63
257,0.94
259,0.79
264,0.82
270,0.66
272,0.93
274,0.43
275,0.44
278,0.7
280,0.24
281,0.14
282,0.18
283,0.88
284,0.94
286,0.91
287,0.93
288,0.85
289,0.76
290,0.58
291,0.66
294,0.64
295,0.35
297,0.52
299,0.57
305,0.78
307,0.57
308,0.84
313,0.58
314,0.73
315,0.7
316,0.91
317,0.86
319,0.6
322,0.86
323,0.92
324,0.68
326,0.89
327,0.73
329,0.99
330,0.09
331,0.36
336,0.28
337,0.57
338,0.9
340,0.95
345,0.34
347,0.82
348,0.76
350,1.0
352,0.83
356,0.92
357,0.9
358,1.0
359,0.89
361,0.8
363,0.49
364,0.83
368,0.88
376,0.98
378,0.67
382,0.77
384,0.57
385,0.86
388,0.17
389,0.9
391,0.74
392,0.77
395,0.83
396,0.85
397,0.8
399,0.78
404,0.9
407,0.34
409,0.81
410,0.73
413,0.84
414,0.6
416,0.85
418,0.81
419,0.76
420,0.85
422,0.93
423,0.78
427,0.78
429,0.98
430,0.58
431,0.71
432,0.72
433,0.96
434,0.07
436,0.68
437,0.89
451,0.76
452,0.86
454,0.83
457,0.84
458,0.78
460,0.66
461,1.0
462,0.78
463,0.8
465,0.91
467,0.89
473,0.83
474,0.86
480,0.03
481,0.82
483,0.87
484,0.57
485,0.51
487,0.97
490,0.99
491,0.83
492,0.45
496,0.8
497,0.8
498,0.63
499,0.86
501,0.59
502,0.89
503,0.96
506,0.89
507,0.68
508,0.61
509,0.69
510,0.8
511,0.74
513,0.85
515,0.92
521,0.57
522,0.84
523,0.86
525,0.9
529,0.92
530,0.44
531,0.72
533,0.84
534,0.58
535,0.9
537,0.63
541,0.61
542,0.74
543,0.67
544,0.88
545,0.75
549,0.76
550,0.88
551,0.81
553,0.57
556,0.95
558,0.39
560,0.8
563,0.54
564,0.92
567,0.43
572,0.5
573,0.96
577,0.93
583,0.91
584,0.89
585,0.73
586,0.73
588,0.8
590,0.76
591,0.85
593,0.98
594,0.66
597,0.85
598,0.78
599,0.95
603,0.77
604,0.68
606,0.94
607,0.56
609,0.51
614,0.87
615,0.93
616,0.51
617,0.86
618,0.85
619,0.67
620,0.63
623,0.61
625,0.85
626,0.68
627,0.71
632,0.99
633,0.64
634,0.72
635,0.67
636,0.9
637,0.83
638,0.79
639,0.94
642,0.41
643,0.9
644,0.93
645,0.31
646,0.8
650,0.94
653,0.5
654,0.44
655,0.44
656,0.82
657,0.81
658,0.74
660,0.33
661,0.68
668,0.86
669,0.63
671,0.81
672,0.73
676,0.95
678,0.9
680,0.87
682,0.91
684,0.94
685,0.84
686,0.66
687,0.38
694,0.36
696,0.3
697,0.71
699,0.71
702,0.95
707,0.77
708,0.94
712,0.98
717,0.96
718,0.97
720,0.79
721,0.83
723,0.83
724,0.65
727,0.53
728,0.2
731,0.84
733,0.85
735,0.9
737,0.7
738,0.68
740,0.66
742,1.0
743,0.68
745,0.64
746,0.76
747,0.66
748,0.98
749,0.9
750,0.98
753,0.77
755,0.97
756,0.92
758,0.43
760,0.79
762,0.86
763,0.68
765,0.88
767,0.85
768,0.98
770,0.54
772,0.81
773,0.89
774,0.82
775,0.7
777,0.42
778,0.94
780,0.45
782,0.72
783,0.99
786,0.65
787,0.92
788,0.71
789,0.67
790,0.69
793,0.58
795,0.97
807,0.81
809,0.88
810,0.46
811,0.74
813,0.24
815,0.96
816,0.66
821,0.92
823,0.99
825,0.88
826,0.91
827,0.89
832,0.84
833,0.73
834,0.68
837,0.94
838,0.96
839,0.12
843,0.36
844,0.72
845,0.43
846,0.78
848,0.57
850,0.71
851,0.87
852,0.65
855,0.82
856,0.92
861,0.62
862,0.82
863,0.85
864,0.76
865,0.94
867,0.71
868,0.88
869,0.99
873,0.59
875,0.62
877,0.91
879,0.76
880,0.98
881,0.7
882,0.7
883,1.0
887,0.56
888,0.58
890,0.94
897,0.78
900,0.81
902,0.64
904,0.65
906,0.52
910,0.85
913,0.72
914,0.53
915,0.52
